hour,temperature_C,temp_layer2,temp_layer5,temp_layer10,h_ML,Q_flux,salinity
160,-0.08840727,-0.09179514,-0.16674756,-0.9571599,8.562631,106.17574564615886,34.205612
161,-0.08571522,-0.08908791,-0.15168446,-0.9567246,8.664158,106.45531781514485,34.205635
162,-0.08279607,-0.086236216,-0.13720621,-0.9562878,8.795225,106.73488998413086,34.20565
163,-0.08003318,-0.08348746,-0.12255783,-0.9558495,8.972444,107.01446215311687,34.20566
164,-0.07736242,-0.080810346,-0.10787202,-0.9554098,9.258913,107.29403432210286,34.20567
165,-0.074974924,-0.07837935,-0.09227426,-0.95496863,9.787149,107.57360649108887,34.205677
166,-0.072004005,-0.07525397,-0.08379068,-0.95452595,10.03735,107.85317866007487,34.205677
167,-0.06843473,-0.071546584,-0.07921904,-0.95408183,10.051264,108.13275082906087,34.205666
168,-0.06462884,-0.067686655,-0.07515599,-0.9536363,10.054451,108.41232299804688,34.205654
169,-0.06075222,-0.063791186,-0.07119074,-0.95318925,10.056099,108.17531299591064,34.205635
170,-0.056858998,-0.05988958,-0.06724773,-0.9527407,10.057484,107.93830299377441,34.205616
171,-0.052963722,-0.05598925,-0.063315675,-0.9522907,10.058896,107.70129299163818,34.205593
172,-0.049074776,-0.05209544,-0.059391264,-0.9518392,10.060392,107.46428298950195,34.20557
173,-0.045194805,-0.04821069,-0.055477202,-0.95138615,10.062004,107.22727298736572,34.205544
174,-0.041326612,-0.044337656,-0.051575914,-0.9509316,10.063738,106.99026298522949,34.205517
175,-0.03747281,-0.040478915,-0.047689892,-0.9504754,10.065599,106.75325298309326,34.205486
176,-0.033635914,-0.036636986,-0.043821637,-0.95001763,10.067597,106.51624298095703,34.205452
177,-0.029818356,-0.032814316,-0.03997365,-0.9495582,10.06974,106.2792329788208,34.205418
178,-0.026022501,-0.02901331,-0.036148388,-0.9490971,10.072037,106.04222297668457,34.20538
179,-0.022251107,-0.025236832,-0.032349486,-0.94863427,10.074496,105.80521297454834,34.20534
180,-0.018375779,-0.021369906,-0.028451808,-0.94816965,10.0720825,105.56820297241211,34.205303
181,-0.014287932,-0.017303439,-0.024350189,-0.9477032,10.064733,105.33119297027588,34.205257
182,-0.010012168,-0.013049417,-0.020071246,-0.9472348,10.057446,105.09418296813965,34.205208
183,-0.005557262,-0.008619876,-0.015635382,-0.94676447,10.05028,104.85717296600342,34.20516
184,-0.0009347835,-0.004027284,-0.011059092,-0.94629216,10.043284,104.62016296386719,34.2051
185,0.00384304,0.0007158066,-0.006357367,-0.9458178,10.036511,104.38315296173096,34.205044
186,0.008763925,0.0055970126,-0.001544539,-0.9453413,10.030002,104.14614295959473,34.204983
187,0.013815509,0.010604013,0.0033655793,-0.94486266,10.023769,103.9091329574585,34.20492
188,0.018986551,0.01572585,0.00835799,-0.9443818,10.017769,103.67212295532227,34.204853
189,0.024257494,0.02094432,0.013426701,-0.94389856,10.011535,103.43511295318604,34.204784
190,0.02979086,0.026462229,0.017093435,-0.943413,9.734816,103.1981029510498,34.204712
191,0.035746463,0.032418318,0.018950196,-0.9429251,9.233625,102.96109294891357,34.20463
192,0.042092174,0.03876189,0.019262275,-0.94243467,8.759856,102.72408294677734,34.204544
193,0.048751846,0.045399528,0.018492054,-0.94194174,8.448014,102.62584431966145,34.20445
194,0.05523163,0.051631585,0.019897578,-0.94144624,8.263824,102.52760569254558,34.204357
195,0.061729673,0.05802696,0.020187477,-0.9409481,8.149878,102.42936706542969,34.20426
196,0.06844069,0.06468755,0.019349612,-0.94044733,8.077922,102.3311284383138,34.204163
197,0.07548252,0.07178759,0.016651575,-0.93994385,8.029982,102.23288981119792,34.204056
198,0.082889885,0.07915323,0.013306348,-0.93943757,7.979447,102.13465118408203,34.203945
199,0.090539716,0.08677335,0.010206161,-0.9389285,7.7144394,102.03641255696614,34.203827
200,0.09844036,0.09463297,0.0073280674,-0.93841654,7.3229065,101.93817392985027,34.2037
201,0.106545426,0.102693774,0.0046502035,-0.93790174,6.9511657,101.83993530273438,34.20357
202,0.1147356,0.11072941,0.0021900795,-0.937384,6.6708837,101.74169667561848,34.203434
203,0.12275145,0.118559,7.879834e-06,-0.9368633,6.4915376,101.64345804850261,34.203304
204,0.1306358,0.12632687,-0.0019811643,-0.9363395,6.384092,101.54521942138672,34.203175
205,0.13832,0.13392626,-0.0037465938,-0.93581235,6.3082957,101.44698079427083,34.203056
206,0.14584422,0.1414053,-0.0053200442,-0.9352819,6.254402,101.34874216715495,34.202946
207,0.15324976,0.14879006,-0.0067274948,-0.93474805,6.2143407,101.25050354003906,34.20284
208,0.16060571,0.15615307,-0.008011896,-0.93421084,6.183735,101.15226491292317,34.20274
209,0.16796093,0.16354948,-0.009200019,-0.93367016,6.1598577,101.0540262858073,34.202644
210,0.17536077,0.17102571,-0.0103128785,-0.9331261,6.141138,100.9557876586914,34.20255
211,0.18288743,0.17867367,-0.011371614,-0.93257856,6.126565,100.85754903157552,34.202457
212,0.19046123,0.18640612,-0.012362019,-0.9320276,6.1153607,100.75931040445964,34.202366
213,0.19818191,0.19430229,-0.013269978,-0.9314731,6.1068416,100.66107177734375,34.20228
214,0.20585796,0.20209607,-0.014096157,-0.93091506,6.1005344,100.56283315022786,34.202194
215,0.21344525,0.20975083,-0.014841546,-0.9303536,6.095159,100.46459452311198,34.202114
216,0.22090316,0.21726994,-0.015506905,-0.9297886,6.091732,100.3663558959961,34.20204
217,0.22821572,0.22464615,-0.016092643,-0.9292201,6.089962,100.38024107615153,34.201973
218,0.23537451,0.23187163,-0.016598718,-0.92864805,6.089993,100.39412625630696,34.201916
219,0.24237268,0.23893821,-0.017024659,-0.92807245,6.091593,100.4080114364624,34.20186
220,0.24920289,0.24583733,-0.017369594,-0.9274934,6.09455,100.42189661661784,34.201813
221,0.2558576,0.25256038,-0.017632272,-0.9269108,6.0987506,100.43578179677327,34.20177
222,0.26232892,0.2590987,-0.017811075,-0.92632467,6.104137,100.44966697692871,34.201736
223,0.26860875,0.26544353,-0.017904025,-0.92573506,6.1106997,100.46355215708415,34.201706
224,0.27468872,0.27158594,-0.017908802,-0.92514193,6.118472,100.47743733723958,34.201683
225,0.28056002,0.27751678,-0.017822746,-0.92454535,6.127525,100.49132251739502,34.201668
226,0.28621358,0.2832267,-0.01764286,-0.92394525,6.137973,100.50520769755046,34.20166
227,0.29164106,0.28870544,-0.017365815,-0.9233417,6.149978,100.51909287770589,34.20166
228,0.2969209,0.2940184,-0.01699718,-0.9227353,6.15597,100.53297805786133,34.20166
229,0.30212536,0.29924825,-0.016546808,-0.9221266,6.15487,100.54686323801677,34.20166
230,0.30724952,0.3044001,-0.016019419,-0.9215157,6.1537857,100.5607484181722,34.20166
231,0.31229302,0.30947244,-0.015419426,-0.9209026,6.152793,100.57463359832764,34.20166
232,0.31725517,0.31446344,-0.014750939,-0.9202874,6.1519146,100.58851877848308,34.20166
233,0.3221336,0.31937188,-0.014017777,-0.91967,6.151166,100.6024039586385,34.201664
234,0.32692716,0.3241958,-0.013223488,-0.9190506,6.1505685,100.61628913879395,34.201664
235,0.3316343,0.32893357,-0.01237136,-0.91842914,6.1501346,100.63017431894939,34.201668
236,0.33625346,0.3335835,-0.011464438,-0.9178057,6.149878,100.64405949910481,34.201675
237,0.34078315,0.3381441,-0.0105055375,-0.9171803,6.149813,100.65794467926025,34.20168
238,0.3452218,0.34261373,-0.009497256,-0.91655296,6.149952,100.6718298594157,34.201687
239,0.3495679,0.3469909,-0.008441988,-0.9159238,6.1503077,100.68571503957112,34.201694
240,0.35381994,0.35127413,-0.0073419344,-0.9152928,6.1508927,100.69960021972656,34.201702
241,0.35797638,0.35546187,-0.0061991108,-0.91466004,6.151721,100.77076721191406,34.20171
242,0.36203572,0.35955256,-0.0050153583,-0.91402555,6.1528053,100.84193420410156,34.20172
243,0.3659964,0.3635447,-0.0037923506,-0.9133894,6.154161,100.91310119628906,34.201733
244,0.36985546,0.36743593,-0.0025315708,-0.91275156,6.1558027,100.98426818847656,34.201748
245,0.3736135,0.3712255,-0.0012343775,-0.9121121,6.1577606,101.05543518066406,34.20176
246,0.37726837,0.37491184,9.801127e-05,-0.9114712,6.1600323,101.12660217285156,34.201775
247,0.38081855,0.3784933,0.0014645137,-0.9108287,6.162646,101.19776916503906,34.20179
248,0.38426244,0.38196838,0.0028641778,-0.91018486,6.1656246,101.26893615722656,34.20181
249,0.3875986,0.3853355,0.004296174,-0.9095395,6.1689963,101.34010314941406,34.201828
250,0.39082554,0.3885931,0.0057597873,-0.90889287,6.1727896,101.41127014160156,34.201847
251,0.3939417,0.39173973,0.0072544143,-0.9082449,6.177039,101.48243713378906,34.201866
252,0.39704362,0.3948776,0.008785009,-0.9075944,6.173757,101.55360412597656,34.20189
253,0.40013546,0.3980136,0.01035784,-0.90693986,6.171777,101.62477111816406,34.201916
254,0.40309134,0.40101358,0.011976621,-0.90628135,6.1825304,101.69593811035156,34.201942
255,0.4057828,0.40373698,0.013651943,-0.90561897,6.2072573,101.76710510253906,34.201973
256,0.40807456,0.40603855,0.015401154,-0.9049526,6.2482047,101.83827209472656,34.20201
257,0.4098221,0.40776575,0.01724841,-0.90428233,6.3095613,101.90943908691406,34.202053
258,0.41086873,0.40875605,0.019224856,-0.9036081,6.3993764,101.98060607910156,34.2021
259,0.4110311,0.40882406,0.021369286,-0.90292996,6.5340405,102.05177307128906,34.202156
260,0.41011965,0.40777257,0.023728896,-0.9022479,6.7511425,102.12294006347656,34.202217
261,0.4078849,0.40529847,0.026363648,-0.9015619,7.15493,102.19410705566406,34.20229
262,0.40411398,0.40133098,0.030263452,-0.900872,8.01059,102.26527404785156,34.202366
263,0.40228567,0.40026513,0.043672565,-0.9001782,8.093162,102.33644104003906,34.20244
264,0.4010012,0.39921287,0.06038062,-0.89948046,8.128148,102.40760803222656,34.20251
265,0.39931807,0.39755195,0.07962543,-0.8987788,8.161869,101.88612111409505,34.20259
266,0.3969495,0.39514518,0.101484284,-0.89807326,8.2024355,101.36463419596355,34.20268
267,0.3937786,0.3919142,0.12617163,-0.8973638,8.254124,100.84314727783203,34.202778
268,0.38972083,0.38778302,0.15393153,-0.8966504,8.322586,100.32166035970052,34.20288
269,0.38468167,0.382657,0.18509024,-0.89593303,8.41776,99.80017344156902,34.202995
270,0.37855464,0.37642837,0.2200247,-0.89521176,8.559696,99.2786865234375,34.203117
271,0.37129167,0.36900407,0.25924066,-0.89448655,8.795853,98.75719960530598,34.203247
272,0.36223835,0.35970247,0.3049445,-0.8937574,9.271768,98.23571268717448,34.20339
273,0.3531521,0.35078192,0.3384788,-0.8930243,10.059545,97.71422576904297,34.203526
274,0.34693238,0.3451739,0.336781,-0.8922872,10.166468,97.19273885091145,34.203648
275,0.34132913,0.3397304,0.33165878,-0.89154613,10.208327,96.67125193277995,34.20377
276,0.33586246,0.3343076,0.3263248,-0.890802,10.232646,96.14976501464844,34.20389
277,0.33087605,0.32938352,0.32168975,-0.890056,10.24098,95.62827809651692,34.20401
278,0.32637104,0.32494915,0.3175637,-0.889308,10.250386,95.10679117838542,34.20412
279,0.3223254,0.32097295,0.3138838,-0.888558,10.260548,94.5853042602539,34.204227
280,0.31868917,0.31740302,0.31061938,-0.8878058,10.271494,94.06381734212239,34.204327
281,0.31543332,0.31421024,0.3077158,-0.8870516,10.283492,93.54233042399089,34.204422
282,0.3125321,0.3113685,0.30513144,-0.88629514,10.296683,93.02084350585938,34.204514
283,0.3099508,0.3088427,0.30283827,-0.88553643,10.311256,92.49935658772786,34.2046
284,0.3076553,0.30659878,0.30080533,-0.88477534,10.32757,91.97786966959636,34.204685
